id,price,room_type,accommodates,bedrooms,beds,bathrooms,shared_bath,dist_center_km,neighbourhood,property_type,superhost,host_tenure_yrs,host_n_listings,n_reviews_ltm,is_new,minimum_nights,has_pool,has_hot_tub,has_ac,has_free_parking,has_gym,has_washer,has_ev_charger,has_workspace,pets_allowed,self_checkin
1523335044581632916,184,Entire home/apt,2,1,1,1,0,15.365074852399683,78753,Apartment/Condo,1,1.3333333333333333,25,8,0,1,1,0,1,1,1,1,0,1,0,1
797974471031565193,477.5,Entire home/apt,4,1,2,1,0,0.6867336526753403,78701,Apartment/Condo,0,7.333333333333333,1,0,0,2,1,0,1,0,1,1,0,0,0,1
1493619989121109267,1826,Entire home/apt,16,6,8,5.5,0,2.901548226850121,78704,House,1,11.083333333333334,9,12,0,1,1,0,1,1,0,1,0,1,1,1
729140901088870113,313.5,Entire home/apt,8,3,4,2,0,5.020270323804383,78751,House,1,3.6666666666666665,1,6,0,2,0,0,1,1,0,1,0,1,1,1
1695449702440283751,400,Entire home/apt,15,5,4,3.5,0,8.950905535656057,78744,House,0,1.75,2,0,1,1,1,0,1,1,0,1,0,0,0,1
1327631273985206853,114,Private room,6,1,1,1,0,19.537921742341616,78729,Hotel-like,1,1.5,5,22,0,1,1,0,1,1,0,0,0,0,0,1
1616060420117554528,158.06,Entire home/apt,4,1,2,1,0,1.8963666677843216,78705,Apartment/Condo,1,0.3333333333333333,2,22,0,1,0,0,1,0,0,1,0,1,1,1
51169191,136.18,Entire home/apt,4,2,2,1,0,16.373132578034834,78737,House,1,11.666666666666666,4,49,0,2,0,0,1,1,0,1,0,1,1,1
1470522334334556464,298.67,Entire home/apt,2,1,1,1,0,3.878704144840307,78704,Guesthouse/Guest suite,0,15.333333333333334,4,0,1,3,0,0,1,0,0,0,0,1,0,0
48759122,297,Entire home/apt,2,1,1,1,0,5.631952454308153,78721,Unique/other,1,4.833333333333333,1,15,0,1,0,0,1,1,0,0,0,1,0,1
40891290,47,Hotel/shared room,1,1,1,1,1,0.6363404620269698,78701,Hotel-like,0,6.583333333333333,10,80,0,1,0,0,1,0,0,1,0,0,0,0
782612897719196397,306.5,Entire home/apt,6,2,3,2,0,1.9398765983765722,78701,Apartment/Condo,1,4,87,26,0,1,1,0,1,0,1,1,1,1,1,0
12582089,371,Entire home/apt,6,3,3,2,0,5.816682302159216,78723,House,0,6.916666666666667,1,1,0,2,0,0,1,1,0,1,0,1,1,1
